Scala Farbton;C;M;Y;K;HBW;RAL
90.15.09;15;0;80;0;64,5;
90.15.12;25;5;100;0;55,2;
90.15.15;5;5;100;25;42,6;
90.18.12;25;5;100;0;57,2;
90.ME.01;10;10;40;30;~ 41;
93.03.03;0;0;5;5;84,2;RAL 9003
93.03.06;0;0;10;5;85,5;RAL 9010
93.03.09;10;5;25;0;75,2;
93.03.12;10;10;30;0;67,3;
93.03.15;5;5;35;20;56,8;
93.03.18;30;30;45;5;43,1;
93.03.21;25;30;60;45;27,4;RAL 7034
93.03.24;40;40;60;30;22,2;RAL 7002
93.03.27;10;20;50;70;12,9;
93.03.30;35;40;60;70;9,5;
93.03.33;5;25;40;90;7,4;
93.06.06;0;0;15;0;89,2;
93.06.09;0;5;20;0;83,7;
93.06.12;5;5;30;0;73,5;
93.06.15;5;5;35;10;64,9;
93.06.18;20;15;40;5;57,8;
93.06.21;5;10;40;30;45,4;
93.06.24;20;20;45;35;30,6;
93.06.27;20;20;60;60;20,1;RAL 6013
93.06.30;15;15;45;70;15,1;
93.06.33;10;10;45;80;10,5;
93.09.12;5;5;40;0;75,2;
93.09.15;15;10;45;0;65,4;
93.09.18;0;5;50;20;58,0;
93.09.21;10;15;60;25;43,1;
93.09.24;25;30;70;25;32,0;
93.09.27;10;20;70;50;22,4;
93.09.30;5;20;70;70;13,6;
93.09.33;30;35;80;80;9,7;
93.12.12;5;5;45;0;75,6;
93.12.15;0;5;60;10;67,5;
93.12.18;10;15;70;5;57,6;
93.12.21;5;15;70;25;43,2;
93.12.24;20;30;80;35;28,1;
93.12.27;20;30;90;50;20,6;
93.15.06;0;0;30;0;90,0;
93.15.09;0;0;40;5;87,7;
93.15.12;0;5;70;0;79,3;
93.15.15;0;5;80;5;69,6;
93.15.18;5;15;90;0;58,0;
93.15.21;15;20;100;15;43,9;
93.15.24;10;25;100;35;29,8;
93.18.15;0;0;90;5;72,5;RAL 1016
93.18.18;0;10;100;0;64,6;
96.09.03;0;0;20;0;88,4;
96.09.06;5;5;40;0;75,6;
96.09.09;10;15;45;0;65,8;
96.09.12;5;10;50;5;60,2;
96.09.15;15;20;60;10;50,5;RAL 1000
96.09.18;35;40;70;15;29,7;RAL 1020
96.09.21;10;25;70;50;21,4;
96.09.24;25;35;80;60;14,7;
96.12.01;0;0;15;0;87,0;
96.12.02;0;0;20;0;85,0;
96.12.03;0;0;20;0;82,1;
96.12.06;5;10;40;0;74,2;
96.12.09;0;5;50;5;68,0;
96.12.12;5;15;60;5;59,1;
96.12.15;5;20;70;20;44,4;
96.12.18;5;25;80;40;30,3;
96.12.21;0;20;80;60;20,2;
96.15.06;0;5;40;5;77,2;
96.15.09;0;10;60;0;68,3;
96.15.12;0;15;70;5;58,8;
96.15.15;10;30;90;10;44,0;
96.15.18;30;40;100;15;30,3;
96.18.01;0;0;20;0;86,9;
96.18.02;0;5;40;0;84,3;
96.18.03;0;5;45;0;81,9;
96.18.06;0;10;60;0;75,8;
96.18.09;0;15;80;5;64,9;
96.18.12;5;20;80;0;59,4;
96.18.15;5;30;100;10;43,2;
96.18.18;0;20;100;40;32,4;
96.21.06;0;5;60;0;79,7;
96.21.09;0;15;80;0;66,7;
96.21.12;0;20;90;0;61,4;
96.21.15;0;20;100;15;46,8;
96.24.09;0;20;90;0;63,3;RAL 1018
96.24.12;0;15;100;0;67,6;
99.00.03;5;0;10;0;85,9;
99.00.06;0;0;5;5;82,7;
99.00.09;10;5;15;0;78,0;
99.00.12;15;10;15;0;69,0;
99.00.15;15;10;20;10;61,7;
99.00.18;15;10;20;15;56,9;
99.00.21;0;0;5;35;50,2;
99.00.24;20;15;20;25;45,2;
99.00.27;15;10;20;40;38,2;
99.00.30;35;25;35;25;33,6;
99.00.33;30;25;30;40;30,1;
99.00.36;25;20;25;50;24,7;
99.00.39;5;0;5;70;22,3;
99.00.42;45;35;40;45;19,8;
99.00.45;50;45;45;45;16,3;
99.00.48;70;60;60;30;13,9;
99.00.51;15;10;10;80;11,7;
99.00.54;35;30;30;80;9,7;
99.00.57;20;15;15;90;8,1;
99.00.60;45;35;35;90;7,0;
99.00.63;70;60;50;80;5,6;RAL 9004
99.00.66;10;0;0;100;4,5;RAL 9017
99.00.69;100;90;60;100;4,2;RAL 9005
