Scala Farbton;C;M;Y;K;HBW;RAL
24.15.15;0;50;45;0;45,9;
24.15.18;0;70;70;5;30,8;
24.15.21;0;80;70;10;26,0;RAL 3022
24.15.24;40;90;90;10;14,2;
24.15.27;25;80;70;50;8,5;RAL 3009
24.15.30;5;80;60;80;6,6;
24.18.15;0;60;60;0;43,7;
24.18.18;0;70;70;0;32,9;
24.18.21;5;80;80;0;25,6;RAL 2012
24.18.23;20;80;80;0;21,3;
24.18.24;15;90;90;25;13,7;
24.18.27;10;80;70;40;12,3;
24.18.30;40;100;100;50;8,0;
24.21.15;0;80;90;0;29,6;
24.21.18;0;80;100;0;24,7;RAL 2004
24.21.21;0;80;100;0;23,9;RAL 2009
24.21.24;15;90;100;5;17,8;RAL 2001
24.24.21;0;90;100;0;20,9;
24.24.24;0;90;90;25;14,3;
27.09.03;0;10;15;0;75,6;
27.09.06;0;15;15;0;77,9;
27.09.09;5;20;20;0;66,4;
27.09.12;5;25;20;5;57,8;
27.09.15;0;30;20;20;45,7;
27.09.18;20;45;40;0;40,3;
27.09.19;15;50;45;20;33,2;
27.09.21;0;50;45;30;26,1;
27.09.23;15;60;50;35;19,7;
27.09.24;0;60;45;60;13,9;
27.09.27;10;80;50;60;9,2;
27.09.30;10;90;60;70;6,7;RAL 3005
27.09.33;5;90;45;90;5,1;
27.12.06;0;15;15;0;77,0;
27.12.09;0;25;20;0;65,8;
27.12.12;0;30;25;0;58,2;
27.12.15;0;40;30;5;46,1;
27.12.18;5;60;50;10;31,6;
27.12.19;5;60;50;20;29,3;
27.12.21;10;60;60;25;25,2;
27.12.23;15;70;60;30;20,3;
27.12.24;50;90;80;5;13,2;
27.12.27;60;100;100;5;9,4;
27.12.30;5;90;70;50;8,2;RAL 3011
27.13.18;10;60;50;0;34,7;
27.13.21;10;70;60;20;24,4;
27.13.24;30;80;70;0;19,7;
27.15.06;0;25;20;0;73,9;
27.15.09;0;35;30;0;65,4;
27.15.12;0;45;35;0;55,1;
27.15.15;0;50;40;0;47,6;
27.15.18;5;70;60;5;30,3;
27.15.21;20;80;70;5;21,0;
27.15.24;15;90;80;25;13,7;
27.18.15;0;60;45;0;44,7;
27.18.18;0;70;60;0;30,7;
27.18.21;15;90;80;5;20,3;
27.18.24;0;90;80;35;14,2;RAL 3016
27.18.27;25;100;100;25;11,4;RAL 3013
27.18.30;15;100;90;50;8,9;RAL 3003
27.21.18;0;80;70;0;30,7;
27.21.21;5;100;100;10;16,7;RAL 2002
27.21.24;5;100;90;15;14,4;
27.21.27;0;100;90;40;11,2;RAL 3002
27.21.30;30;100;90;5;13,7;RAL 3031
27.24.24;0;100;100;20;14,6;RAL 3020
27.24.27;35;100;100;0;12,9;RAL 3000
27.24.30;0;100;90;40;11,4;RAL 3001
30.06.06;0;10;10;0;76,3;
30.06.09;5;15;15;5;65,6;
30.06.12;5;15;15;10;59,9;
30.06.15;30;35;35;5;43,9;
30.06.18;5;30;20;45;33,1;
30.06.21;50;60;50;5;21,5;
30.06.24;5;40;20;70;14,3;
30.06.27;10;50;25;80;9,8;
30.06.30;70;80;70;45;6,9;
30.09.03;0;10;10;0;84,0;
30.09.06;0;15;10;0;77,1;
30.09.09;0;20;15;5;65,5;
30.09.12;0;30;20;5;55,3;
30.09.15;5;50;35;5;43,6;
30.09.18;5;60;40;10;33,6;
30.09.21;30;60;45;20;22,6;
30.09.24;0;50;35;60;15,1;
30.09.27;10;70;40;70;9,3;
30.09.30;30;80;45;80;6,1;
30.12.21;25;70;50;20;20,9;
30.12.24;30;80;60;30;14,5;
30.12.27;10;80;45;60;9,4;
30.12.30;30;90;50;70;6,1;
30.15.06;0;20;15;0;76,6;
30.15.09;0;30;20;0;66,4;
30.15.12;0;40;25;0;56,0;
30.15.15;0;50;30;0;43,7;
30.15.18;0;60;40;10;34,2;
30.15.21;0;70;50;10;28,0;RAL 3014
30.15.24;10;80;60;15;21,7;
30.15.27;35;90;70;10;14,0;
30.15.30;60;100;90;0;9,7;
30.15.33;35;100;70;50;6,4;
30.18.12;0;45;25;0;55,0;
30.18.15;0;60;35;0;42,9;
30.18.18;0;80;45;0;28,7;
30.18.21;0;90;60;10;22,4;RAL 3017
30.18.24;15;90;70;0;19,2;RAL 3018
30.18.27;15;100;70;15;13,3;RAL 3027
30.18.30;10;100;80;40;9,4;
30.18.33;40;100;80;45;7,3;RAL 3004
30.21.21;15;90;60;0;22,2;
30.21.24;20;90;60;20;14,5;
30.24.21;20;100;90;5;15,0;
30.24.24;15;100;80;25;11,9;
33.06.03;5;5;10;0;84,9;
33.06.06;0;10;10;0;78,1;
